dataset,board,num_cpus,chunksize,implementation,runtime,std_runtime,min_runtime,max_runtime
rgg_n_2_22_s0,thea,6,4096,atomic,0.21958592433313576,0.017211802456188304,0.1842,0.2388
europe_osm,thea,6,4096,atomic,1.2312950167607888,0.15622986134271322,0.9946,1.6117
GAP-road,thea,2,4,atomic,0.2431738120487913,0.005007471541789338,0.2362,0.2529
rgg_n_2_22_s0,thea,2,4,atomic,0.057843880575955416,0.0014560780881164343,0.0556,0.061
europe_osm,thea,2,4,atomic,0.6579438491486427,0.017827935778368924,0.6335,0.708
GAP-road,thea,2,8,atomic,0.11780191914122524,0.004681614715017597,0.1111,0.1267
rgg_n_2_22_s0,thea,2,8,atomic,0.027335564169684454,0.0007188407515881321,0.0262,0.0289
europe_osm,thea,2,8,atomic,0.37890404533578587,0.01598160298552458,0.3578,0.4234
GAP-road,thea,2,16,atomic,0.0828300596268817,0.003915617297889237,0.077,0.09
rgg_n_2_22_s0,thea,2,16,atomic,0.017625601972199267,0.0005390623667945277,0.0168,0.0188
europe_osm,thea,2,16,atomic,0.18475088685765842,0.008868995713569843,0.1735,0.209
GAP-road,thea,2,32,atomic,0.051264364436408735,0.00353146454464226,0.0462,0.058
rgg_n_2_22_s0,thea,2,32,atomic,0.022566554748211076,0.0005233439489369193,0.022,0.0236
europe_osm,thea,2,32,atomic,0.13633507521848165,0.008674726644277682,0.1253,0.1599
GAP-road,thea,2,64,atomic,0.052225657546967175,0.003979801946003315,0.0462,0.0597
rgg_n_2_22_s0,thea,2,64,atomic,0.01432927841781548,0.0005435600393147655,0.0137,0.0154
europe_osm,thea,2,64,atomic,0.1918008928210743,0.015147043974864225,0.1709,0.2329
GAP-road,thea,2,256,atomic,0.07777225638066698,0.007655797922494123,0.0666,0.0929
rgg_n_2_22_s0,thea,2,256,atomic,0.047765810641568256,0.004738636217585643,0.0396,0.0546
europe_osm,thea,2,256,atomic,0.2523382825805584,0.021716212581591867,0.2258,0.3088
GAP-road,thea,2,1024,atomic,0.1884504038453891,0.019708441010359585,0.1571,0.2285
rgg_n_2_22_s0,thea,2,1024,atomic,0.07623278859278884,0.009421162383357735,0.0629,0.095
europe_osm,thea,2,1024,atomic,0.33483977516790986,0.039532711696994,0.2877,0.4201
GAP-road,thea,2,4096,atomic,0.642715487708082,0.06356829583443399,0.5138,0.7016
rgg_n_2_22_s0,thea,2,4096,atomic,0.37916599222368186,0.030511390779842558,0.3261,0.4249
europe_osm,thea,2,4096,atomic,1.1111197782215427,0.14181838530939742,0.8421,1.3187
GAP-road,thea,4,4,atomic,0.16993688863860956,0.009795136848577102,0.1554,0.1888
rgg_n_2_22_s0,thea,4,4,atomic,0.047238944806510176,0.0025810331315470917,0.0425,0.0525
europe_osm,thea,4,4,atomic,0.42088100392621197,0.020617529346162445,0.3959,0.4782
GAP-road,thea,4,8,atomic,0.15324322608516153,0.012502152755802166,0.1355,0.1764
rgg_n_2_22_s0,thea,4,8,atomic,0.035950074010629704,0.002340828298740214,0.0317,0.0407
europe_osm,thea,4,8,atomic,0.2830932744672079,0.019723574196503217,0.2596,0.3385
GAP-road,thea,4,16,atomic,0.08374231555602932,0.007730444440123095,0.073,0.0988
rgg_n_2_22_s0,thea,4,16,atomic,0.027943277396105574,0.0020813598496005952,0.0242,0.032
europe_osm,thea,4,16,atomic,0.3674589350790649,0.03482797876097842,0.3193,0.4601
GAP-road,thea,4,32,atomic,0.10939024593481192,0.012020374859575137,0.0925,0.1325
rgg_n_2_22_s0,thea,4,32,atomic,0.022288049618011025,0.0016339134624007417,0.0194,0.0257
europe_osm,thea,4,32,atomic,0.30203654702077554,0.03075227394748519,0.2607,0.3878
GAP-road,thea,4,64,atomic,0.06313240665704511,0.0069872900485254096,0.0537,0.0766
rgg_n_2_22_s0,thea,4,64,atomic,0.013925284004373572,0.0010336337324267514,0.0122,0.0162
europe_osm,thea,4,64,atomic,0.2757362467619869,0.028894679723780802,0.2364,0.3549
GAP-road,thea,4,256,atomic,0.09910390490243978,0.012714194887368484,0.0817,0.1233
rgg_n_2_22_s0,thea,4,256,atomic,0.025829965375836872,0.0022243453909635198,0.0213,0.0303
europe_osm,thea,4,256,atomic,0.1950163294485158,0.020237181854491613,0.1707,0.2517
GAP-road,thea,4,1024,atomic,0.18396198159879612,0.024370364650587693,0.1467,0.243
rgg_n_2_22_s0,thea,4,1024,atomic,0.07559310973713083,0.00971099370264498,0.0566,0.0943
europe_osm,thea,4,1024,atomic,0.5946344546980297,0.0771666340575038,0.5132,0.7881
GAP-road,thea,4,4096,atomic,0.6592424117477845,0.06231482686374747,0.5216,0.7185
rgg_n_2_22_s0,thea,4,4096,atomic,0.3309477364292802,0.027215982544864202,0.2835,0.3771
europe_osm,thea,4,4096,atomic,1.3455207624723824,0.1298330557020868,1.069,1.5722
