dataset,board,num_cpus,chunksize,implementation,runtime
europe_osm,baldo,64,32,atomic,1.0630395636897152
GAP-road,baldo,64,64,atomic,0.7747631651914816
rgg_n_2_22_s0,baldo,64,64,atomic,0.22927380185175789
europe_osm,baldo,64,64,atomic,0.71528713611834
GAP-road,baldo,64,256,atomic,1.3323907167178353
rgg_n_2_22_s0,baldo,64,256,atomic,1.2198842117103692
GAP-road,baldo,64,1024,atomic,1.1594144860621747
rgg_n_2_22_s0,baldo,64,1024,atomic,6.055513118651459
europe_osm,baldo,64,1024,atomic,1.48503458355559
GAP-road,baldo,64,4096,atomic,6.345302109628028
rgg_n_2_22_s0,baldo,64,4096,atomic,4.701150328550232
europe_osm,baldo,64,4096,atomic,3.320420934498496
GAP-road,baldo,64,4,openmp,0.8935461115571491
GAP-road,baldo,64,8,openmp,0.8935461115571491
GAP-road,baldo,64,16,openmp,0.8935461115571491
GAP-road,baldo,64,32,openmp,0.8935461115571491
GAP-road,baldo,64,64,openmp,0.8935461115571491
GAP-road,baldo,64,256,openmp,0.8935461115571491
GAP-road,baldo,64,1024,openmp,0.8935461115571491
GAP-road,baldo,64,4096,openmp,0.8935461115571491
rgg_n_2_22_s0,baldo,64,4,openmp,0.3053971027136983
rgg_n_2_22_s0,baldo,64,8,openmp,0.3053971027136983
rgg_n_2_22_s0,baldo,64,16,openmp,0.3053971027136983
rgg_n_2_22_s0,baldo,64,32,openmp,0.3053971027136983
rgg_n_2_22_s0,baldo,64,64,openmp,0.3053971027136983
rgg_n_2_22_s0,baldo,64,256,openmp,0.3053971027136983
rgg_n_2_22_s0,baldo,64,1024,openmp,0.3053971027136983
rgg_n_2_22_s0,baldo,64,4096,openmp,0.3053971027136983
europe_osm,baldo,64,4,openmp,1.5980830468466511
europe_osm,baldo,64,8,openmp,1.5980830468466511
europe_osm,baldo,64,16,openmp,1.5980830468466511
europe_osm,baldo,64,32,openmp,1.5980830468466511
europe_osm,baldo,64,64,openmp,1.5980830468466511
europe_osm,baldo,64,256,openmp,1.5980830468466511
europe_osm,baldo,64,1024,openmp,1.5980830468466511
europe_osm,baldo,64,4096,openmp,1.5980830468466511
GAP-road,baldo,2,16,mutex,0.7430570582168511
rgg_n_2_22_s0,baldo,2,16,mutex,0.3902465002075065
europe_osm,baldo,2,16,mutex,1.212114695160768
GAP-road,baldo,2,32,mutex,0.7098252695146254
rgg_n_2_22_s0,baldo,2,32,mutex,0.38501123749325655
europe_osm,baldo,2,32,mutex,1.176110705585337
GAP-road,baldo,2,64,mutex,0.7066703871326362
rgg_n_2_22_s0,baldo,2,64,mutex,0.3433399494339491
europe_osm,baldo,2,64,mutex,0.9959842424148379
GAP-road,baldo,2,256,mutex,0.6532177197015981
rgg_n_2_22_s0,baldo,2,256,mutex,0.3552805050461582
europe_osm,baldo,2,256,mutex,1.01717885305223
GAP-road,baldo,2,1024,mutex,0.7402581746779898
rgg_n_2_22_s0,baldo,2,1024,mutex,0.3891037294871825
europe_osm,baldo,2,1024,mutex,1.0755592721940048
GAP-road,baldo,2,4096,mutex,0.9329419379384386
