dataset,board,num_cpus,chunksize,implementation,runtime
GAP-road,baldo,32,256,openmp,0.5689909491347525
GAP-road,baldo,32,1024,openmp,0.5689909491347525
GAP-road,baldo,32,4096,openmp,0.5689909491347525
rgg_n_2_22_s0,baldo,32,4,openmp,0.18788876293961262
rgg_n_2_22_s0,baldo,32,8,openmp,0.18788876293961262
rgg_n_2_22_s0,baldo,32,16,openmp,0.18788876293961262
rgg_n_2_22_s0,baldo,32,32,openmp,0.18788876293961262
rgg_n_2_22_s0,baldo,32,64,openmp,0.18788876293961262
rgg_n_2_22_s0,baldo,32,256,openmp,0.18788876293961262
rgg_n_2_22_s0,baldo,32,1024,openmp,0.18788876293961262
rgg_n_2_22_s0,baldo,32,4096,openmp,0.18788876293961262
europe_osm,baldo,32,4,openmp,1.148108342832158
europe_osm,baldo,32,8,openmp,1.148108342832158
europe_osm,baldo,32,16,openmp,1.148108342832158
europe_osm,baldo,32,32,openmp,1.148108342832158
europe_osm,baldo,32,64,openmp,1.148108342832158
europe_osm,baldo,32,256,openmp,1.148108342832158
europe_osm,baldo,32,1024,openmp,1.148108342832158
europe_osm,baldo,32,4096,openmp,1.148108342832158
