   , dataset      , board     , num_cpus, chunksize, implementation, runtime
635, rgg_n_2_22_s0, bananaf3  ,        2,      1024, openmp        ,  2.5276335360873663
636, rgg_n_2_22_s0, bananaf3  ,        2,      4096, openmp        ,  2.5276335360873663
637, rgg_n_2_22_s0, bananaf3  ,        2,        16, openmp        ,  2.70541226022584
638, rgg_n_2_22_s0, bananaf3  ,        2,        32, openmp        ,  2.70541226022584
639, rgg_n_2_22_s0, bananaf3  ,        2,        64, openmp        ,  2.70541226022584
640, rgg_n_2_22_s0, bananaf3  ,        2,       256, openmp        ,  2.70541226022584
641, rgg_n_2_22_s0, bananaf3  ,        2,      1024, openmp        ,  2.70541226022584
642, rgg_n_2_22_s0, bananaf3  ,        2,      4096, openmp        ,  2.70541226022584
643, europe_osm   , bananaf3  ,        2,        16, openmp        , 12.51059458603056
644, europe_osm   , bananaf3  ,        2,        32, openmp        , 12.51059458603056
645, europe_osm   , bananaf3  ,        2,        64, openmp        , 12.51059458603056
646, europe_osm   , bananaf3  ,        2,       256, openmp        , 12.51059458603056
647, europe_osm   , bananaf3  ,        2,      1024, openmp        , 12.51059458603056
648, europe_osm   , bananaf3  ,        2,      4096, openmp        , 12.51059458603056
649, europe_osm   , pioneer   ,       32,       256, mutex         ,  1.1451553406183383
650, rgg_n_2_22_s0, pioneer   ,       32,       256, mutex         ,  0.4376078455283703
651, GAP-road     , pioneer   ,       32,       256, mutex         ,  0.4987334154169456
652, GAP-road     , pioneer   ,       32,      1024, mutex         ,  1.5515352955255663
653, europe_osm   , pioneer   ,       32,      1024, mutex         ,  2.754159739314675
654, rgg_n_2_22_s0, pioneer   ,       32,      1024, mutex         ,  0.8136349815847934
655, europe_osm   , pioneer   ,       32,        64, mutex         ,  0.6694296369544479
656, rgg_n_2_22_s0, pioneer   ,       32,        64, mutex         ,  0.3116429405202062
657, GAP-road     , pioneer   ,       32,        64, mutex         ,  0.33379346620966754
658, GAP-road     , pioneer   ,       32,        32, mutex         ,  0.36990347561427445
659, europe_osm   , pioneer   ,       32,        32, mutex         ,  0.9405165928529727
660, rgg_n_2_22_s0, pioneer   ,       32,        32, mutex         ,  0.3379068904928693
661, europe_osm   , pioneer   ,       32,        16, mutex         ,  1.4682987430439625
662, rgg_n_2_22_s0, pioneer   ,       32,        16, mutex         ,  0.3358603659653492
663, GAP-road     , pioneer   ,       32,        16, mutex         ,  0.6340755335988768
664, europe_osm   , pioneer   ,       32,      4096, mutex         ,  7.678773539984967
665, GAP-road     , pioneer   ,       32,      4096, mutex         ,  3.7734248622694464
666, rgg_n_2_22_s0, pioneer   ,       32,      4096, mutex         ,  2.01611331176552
667, europe_osm   , pioneer   ,        1,       256, mutex         , 10.34546396234473
668, GAP-road     , pioneer   ,        1,       256, mutex         ,  4.251511894291839
669, rgg_n_2_22_s0, pioneer   ,        1,       256, mutex         ,  2.2842120824253893
670, GAP-road     , pioneer   ,        1,      1024, mutex         ,  4.398560765281116
671, europe_osm   , pioneer   ,        1,      1024, mutex         , 10.206157982675203
672, rgg_n_2_22_s0, pioneer   ,        1,      1024, mutex         ,  2.2042099465283163
673, europe_osm   , pioneer   ,        1,        64, mutex         , 10.919533840036246
674, GAP-road     , pioneer   ,        1,        64, mutex         ,  4.496686020468623
675, rgg_n_2_22_s0, pioneer   ,        1,        64, mutex         ,  2.300206729027204
676, europe_osm   , pioneer   ,        1,        32, mutex         , 10.572521421729576
677, GAP-road     , pioneer   ,        1,        32, mutex         ,  4.59573373313614
678, rgg_n_2_22_s0, pioneer   ,        1,        32, mutex         ,  2.3205871000975584
679, rgg_n_2_22_s0, pioneer   ,        1,        16, mutex         ,  2.3298450353426943
680, GAP-road     , pioneer   ,        1,        16, mutex         ,  4.7734701032521265
681, europe_osm   , pioneer   ,        1,        16, mutex         , 11.433618867533843
682, GAP-road     , pioneer   ,        1,      4096, mutex         ,  4.3501300080600025
683, europe_osm   , pioneer   ,        1,      4096, mutex         , 10.894580652724219
684, rgg_n_2_22_s0, pioneer   ,        1,      4096, mutex         ,  2.210461168400217
685, rgg_n_2_22_s0, bananaf3  ,        4,       256, mutex         ,  1.4859721354094995
686, europe_osm   , bananaf3  ,        4,       256, mutex         ,  5.870298562111854
687, GAP-road     , bananaf3  ,        4,       256, mutex         ,  2.9077510607143475
688, europe_osm   , bananaf3  ,        4,      1024, mutex         ,  7.524943946368342
689, rgg_n_2_22_s0, bananaf3  ,        4,      1024, mutex         ,  2.0526806531832444
690, GAP-road     , bananaf3  ,        4,      1024, mutex         ,  3.932679607072391
691, rgg_n_2_22_s0, bananaf3  ,        4,        64, mutex         ,  1.3604777998767308
692, europe_osm   , bananaf3  ,        4,        64, mutex         ,  5.455556547669034
693, GAP-road     , bananaf3  ,        4,        64, mutex         ,  2.677795902417772
694, europe_osm   , bananaf3  ,        4,        32, mutex         ,  5.504356173711464
695, GAP-road     , bananaf3  ,        4,        32, mutex         ,  2.6749432742921084
696, rgg_n_2_22_s0, bananaf3  ,        4,        32, mutex         ,  1.3587892876141283
697, europe_osm   , bananaf3  ,        4,        16, mutex         ,  5.706647674563129
698, GAP-road     , bananaf3  ,        4,        16, mutex         ,  2.7530225361719123
699, rgg_n_2_22_s0, bananaf3  ,        4,        16, mutex         ,  1.3848565834268292
700, GAP-road     , bananaf3  ,        4,      4096, mutex         ,  7.344517521071224
701, rgg_n_2_22_s0, bananaf3  ,        4,      4096, mutex         ,  4.110827154205695
702, europe_osm   , bananaf3  ,        4,      4096, mutex         , 12.565535587837896
703, rgg_n_2_22_s0, arriesgado,        1,       256, mutex         ,  5.023413161781559
704, GAP-road     , arriesgado,        1,       256, mutex         ,  9.506544302556794
705, rgg_n_2_22_s0, arriesgado,        1,      1024, mutex         ,  5.044442954759904
706, GAP-road     , arriesgado,        1,      1024, mutex         ,  9.55430863702029
707, rgg_n_2_22_s0, arriesgado,        1,        64, mutex         ,  5.0544983635116765
708, GAP-road     , arriesgado,        1,        64, mutex         ,  9.567685278691936
709, rgg_n_2_22_s0, arriesgado,        1,        32, mutex         ,  5.031667493532452
710, GAP-road     , arriesgado,        1,        32, mutex         ,  9.607728223682845
711, rgg_n_2_22_s0, arriesgado,        1,        16, mutex         ,  5.094002968761201
712, GAP-road     , arriesgado,        1,        16, mutex         ,  9.765453847113989
713, GAP-road     , arriesgado,        1,      4096, mutex         ,  9.594466597764931
714, rgg_n_2_22_s0, arriesgado,        1,      4096, mutex         ,  4.9925729414041715
715, GAP-road     , bananaf3  ,        8,       256, mutex         ,  1.637352607675571
716, europe_osm   , bananaf3  ,        8,       256, mutex         ,  3.206170817556131
717, rgg_n_2_22_s0, bananaf3  ,        8,       256, mutex         ,  0.9342430583650597
718, GAP-road     , bananaf3  ,        8,      1024, mutex         ,  2.8541787392765445
719, rgg_n_2_22_s0, bananaf3  ,        8,      1024, mutex         ,  1.6916893700745863
720, europe_osm   , bananaf3  ,        8,      1024, mutex         ,  5.113104081684484
721, rgg_n_2_22_s0, bananaf3  ,        8,        64, mutex         ,  0.796002313441466
722, GAP-road     , bananaf3  ,        8,        64, mutex         ,  1.4126360595937513
723, europe_osm   , bananaf3  ,        8,        64, mutex         ,  2.786202733005258
724, GAP-road     , bananaf3  ,        8,        32, mutex         ,  1.4163577133702094
725, europe_osm   , bananaf3  ,        8,        32, mutex         ,  2.795400317327007
726, rgg_n_2_22_s0, bananaf3  ,        8,        32, mutex         ,  0.7760026017691872
727, rgg_n_2_22_s0, bananaf3  ,        8,        16, mutex         ,  0.7973267379681632
728, GAP-road     , bananaf3  ,        8,        16, mutex         ,  1.4457296718575932
729, europe_osm   , bananaf3  ,        8,        16, mutex         ,  2.9341512192623056
730, europe_osm   , bananaf3  ,        8,      4096, mutex         , 10.833717092890259
731, rgg_n_2_22_s0, bananaf3  ,        8,      4096, mutex         ,  4.067476527477979
732, GAP-road     , bananaf3  ,        8,      4096, mutex         ,  7.319031363120579
733, rgg_n_2_22_s0, arriesgado,        4,       256, mutex         ,  1.4536433737383718
734, GAP-road     , arriesgado,        4,       256, mutex         ,  2.724580518585298
735, europe_osm   , arriesgado,        4,       256, mutex         ,  5.583976207008934
736, europe_osm   , arriesgado,        4,      1024, mutex         ,  6.948419176971096
737, GAP-road     , arriesgado,        4,      1024, mutex         ,  3.589204241096872
738, rgg_n_2_22_s0, arriesgado,        4,      1024, mutex         ,  1.9374046301991228
739, europe_osm   , arriesgado,        4,        64, mutex         ,  5.143356189812459
740, rgg_n_2_22_s0, arriesgado,        4,        64, mutex         ,  1.3422694490334568
741, GAP-road     , arriesgado,        4,        64, mutex         ,  2.5301412626473545
742, GAP-road     , arriesgado,        4,        32, mutex         ,  2.5328106240679142
743, europe_osm   , arriesgado,        4,        32, mutex         ,  5.1615128353941815
744, rgg_n_2_22_s0, arriesgado,        4,        32, mutex         ,  1.3346474109153155
745, GAP-road     , arriesgado,        4,        16, mutex         ,  2.5987141931846844
746, rgg_n_2_22_s0, arriesgado,        4,        16, mutex         ,  1.346261710287624
747, europe_osm   , arriesgado,        4,        16, mutex         ,  5.301387771158573
748, GAP-road     , arriesgado,        4,      4096, mutex         ,  6.42163566341436
749, europe_osm   , arriesgado,        4,      4096, mutex         , 10.23037107396416
750, rgg_n_2_22_s0, arriesgado,        4,      4096, mutex         ,  3.9127723716458975
751, europe_osm   , pioneer   ,        2,       256, mutex         ,  5.453626093185045
752, GAP-road     , pioneer   ,        2,       256, mutex         ,  2.4094070087291883
753, rgg_n_2_22_s0, pioneer   ,        2,       256, mutex         ,  1.3758754490968512
754, europe_osm   , pioneer   ,        2,      1024, mutex         ,  6.062724334039918
755, GAP-road     , pioneer   ,        2,      1024, mutex         ,  2.748254735472251
756, rgg_n_2_22_s0, pioneer   ,        2,      1024, mutex         ,  1.4830896260665167
757, europe_osm   , pioneer   ,        2,        64, mutex         ,  5.427054288014485
758, rgg_n_2_22_s0, pioneer   ,        2,        64, mutex         ,  1.3605141388767898
759, GAP-road     , pioneer   ,        2,        64, mutex         ,  2.4367113416732193
760, europe_osm   , pioneer   ,        2,        32, mutex         ,  5.7011362072555185
761, rgg_n_2_22_s0, pioneer   ,        2,        32, mutex         ,  1.381637688280148
762, GAP-road     , pioneer   ,        2,        32, mutex         ,  2.466968730243636
763, GAP-road     , pioneer   ,        2,        16, mutex         ,  2.576660334440858
764, rgg_n_2_22_s0, pioneer   ,        2,        16, mutex         ,  1.3888859948002281
765, europe_osm   , pioneer   ,        2,        16, mutex         ,  5.9593877547100265
766, europe_osm   , pioneer   ,        2,      4096, mutex         ,  7.827930914728897
767, rgg_n_2_22_s0, pioneer   ,        2,      4096, mutex         ,  2.122702941350786
768, GAP-road     , pioneer   ,        2,      4096, mutex         ,  4.017240843385742
769, europe_osm   , pioneer   ,       64,       256, mutex         ,  1.409748082217327
770, rgg_n_2_22_s0, pioneer   ,       64,       256, mutex         ,  0.4169155322593527
771, GAP-road     , pioneer   ,       64,       256, mutex         ,  0.783035824557716
772, rgg_n_2_22_s0, pioneer   ,       64,      1024, mutex         ,  0.9845230032875353
773, GAP-road     , pioneer   ,       64,      1024, mutex         ,  1.744234222776139
774, europe_osm   , pioneer   ,       64,      1024, mutex         ,  4.155650435160948
775, europe_osm   , pioneer   ,       64,        64, mutex         ,  0.8527080815794215
776, GAP-road     , pioneer   ,       64,        64, mutex         ,  0.3749211673374113
777, rgg_n_2_22_s0, pioneer   ,       64,        64, mutex         ,  0.30105370113651725
778, GAP-road     , pioneer   ,       64,        32, mutex         ,  0.6052960929645823
779, europe_osm   , pioneer   ,       64,        32, mutex         ,  1.0588808006517787
780, rgg_n_2_22_s0, pioneer   ,       64,        32, mutex         ,  0.30395487800007615
781, GAP-road     , pioneer   ,       64,        16, mutex         ,  1.0170951767212548
782, rgg_n_2_22_s0, pioneer   ,       64,        16, mutex         ,  0.35012242457771664
783, europe_osm   , pioneer   ,       64,        16, mutex         ,  2.5486897180159045
784, rgg_n_2_22_s0, pioneer   ,       64,      4096, mutex         ,  2.2861979395007337
785, GAP-road     , pioneer   ,       64,      4096, mutex         ,  4.942873663099215
786, europe_osm   , pioneer   ,       64,      4096, mutex         ,  9.978133120378718
787, rgg_n_2_22_s0, arriesgado,        2,       256, mutex         ,  2.637679107223165
788, GAP-road     , arriesgado,        2,       256, mutex         ,  4.994570729988197
789, europe_osm   , arriesgado,        2,       256, mutex         , 10.123012403307166
790, europe_osm   , arriesgado,        2,      1024, mutex         , 11.102044687398742
791, rgg_n_2_22_s0, arriesgado,        2,      1024, mutex         ,  2.9210868715013074
792, GAP-road     , arriesgado,        2,      1024, mutex         ,  5.480002887096281
793, rgg_n_2_22_s0, arriesgado,        2,        64, mutex         ,  2.571143129395615
794, GAP-road     , arriesgado,        2,        64, mutex         ,  4.914910656435589
795, europe_osm   , arriesgado,        2,        64, mutex         , 10.050315011704367
796, rgg_n_2_22_s0, arriesgado,        2,        32, mutex         ,  2.5864598467204605
797, GAP-road     , arriesgado,        2,        32, mutex         ,  4.9717278405624095
798, europe_osm   , arriesgado,        2,        32, mutex         , 10.15951003308876
799, rgg_n_2_22_s0, arriesgado,        2,        16, mutex         ,  2.607421671765049
800, europe_osm   , arriesgado,        2,        16, mutex         , 10.373727367266076
801, GAP-road     , arriesgado,        2,        16, mutex         ,  5.060886492674611
802, rgg_n_2_22_s0, arriesgado,        2,      4096, mutex         ,  4.368039901079395
803, GAP-road     , arriesgado,        2,      4096, mutex         ,  7.516060204900526
804, rgg_n_2_22_s0, pioneer   ,        4,       256, mutex         ,  0.9981685094674537
805, europe_osm   , pioneer   ,        4,       256, mutex         ,  3.363740006540012
806, GAP-road     , pioneer   ,        4,       256, mutex         ,  1.5280779510045013
807, europe_osm   , pioneer   ,        4,      1024, mutex         ,  4.287116153607888
808, rgg_n_2_22_s0, pioneer   ,        4,      1024, mutex         ,  1.1994366109534902
809, GAP-road     , pioneer   ,        4,      1024, mutex         ,  1.9123462803172941
810, rgg_n_2_22_s0, pioneer   ,        4,        64, mutex         ,  0.9848104820851501
811, GAP-road     , pioneer   ,        4,        64, mutex         ,  1.4630099262440004
812, europe_osm   , pioneer   ,        4,        64, mutex         ,  3.154121586832649
813, europe_osm   , pioneer   ,        4,        32, mutex         ,  3.4705001622831944
814, rgg_n_2_22_s0, pioneer   ,        4,        32, mutex         ,  0.9658082299291123
815, GAP-road     , pioneer   ,        4,        32, mutex         ,  1.4668102372512068
816, europe_osm   , pioneer   ,        4,        16, mutex         ,  3.2396057813123313
817, rgg_n_2_22_s0, pioneer   ,        4,        16, mutex         ,  0.9454754848251152
818, GAP-road     , pioneer   ,        4,        16, mutex         ,  1.523814766985438
819, rgg_n_2_22_s0, pioneer   ,        4,      4096, mutex         ,  2.003090762482452
820, europe_osm   , pioneer   ,        4,      4096, mutex         ,  7.198991709421914
821, GAP-road     , pioneer   ,        4,      4096, mutex         ,  3.42044890776187
822, europe_osm   , pioneer   ,        8,       256, mutex         ,  1.8222183292039795
823, GAP-road     , pioneer   ,        8,       256, mutex         ,  0.8363842133604583
824, rgg_n_2_22_s0, pioneer   ,        8,       256, mutex         ,  0.6074418089012447
825, europe_osm   , pioneer   ,        8,      1024, mutex         ,  2.6916996799354123
826, GAP-road     , pioneer   ,        8,      1024, mutex         ,  1.3846483126647964
827, rgg_n_2_22_s0, pioneer   ,        8,      1024, mutex         ,  0.9383439421301221
828, rgg_n_2_22_s0, pioneer   ,        8,        64, mutex         ,  0.48975919680314234
829, GAP-road     , pioneer   ,        8,        64, mutex         ,  0.7317598349290979
830, europe_osm   , pioneer   ,        8,        64, mutex         ,  1.640341180497262
831, europe_osm   , pioneer   ,        8,        32, mutex         ,  1.6581815919286051
832, rgg_n_2_22_s0, pioneer   ,        8,        32, mutex         ,  0.5589687304025781
833, GAP-road     , pioneer   ,        8,        32, mutex         ,  0.7782031843438859
834, rgg_n_2_22_s0, pioneer   ,        8,        16, mutex         ,  0.5707581830306449
835, europe_osm   , pioneer   ,        8,        16, mutex         ,  1.7895906865002387
836, GAP-road     , pioneer   ,        8,        16, mutex         ,  0.7771794177246004
837, GAP-road     , pioneer   ,        8,      4096, mutex         ,  3.2290855700428818
838, rgg_n_2_22_s0, pioneer   ,        8,      4096, mutex         ,  1.914473302896297
839, europe_osm   , pioneer   ,        8,      4096, mutex         ,  5.906131232205962
840, rgg_n_2_22_s0, pioneer   ,       16,       256, mutex         ,  0.4164886423232618
841, GAP-road     , pioneer   ,       16,       256, mutex         ,  0.5387487754654419
842, europe_osm   , pioneer   ,       16,       256, mutex         ,  1.2914371718931912
843, rgg_n_2_22_s0, pioneer   ,       16,      1024, mutex         ,  0.9016558512321133
844, europe_osm   , pioneer   ,       16,      1024, mutex         ,  2.4443441108233626
845, GAP-road     , pioneer   ,       16,      1024, mutex         ,  1.357162941974612
846, europe_osm   , pioneer   ,       16,        64, mutex         ,  1.0730152271780424
847, rgg_n_2_22_s0, pioneer   ,       16,        64, mutex         ,  0.3963749984112014
848, GAP-road     , pioneer   ,       16,        64, mutex         ,  0.43342648934234085
849, rgg_n_2_22_s0, pioneer   ,       16,        32, mutex         ,  0.39316842104484573
850, GAP-road     , pioneer   ,       16,        32, mutex         ,  0.46497744817110165
851, europe_osm   , pioneer   ,       16,        32, mutex         ,  1.0600524770547854
852, europe_osm   , pioneer   ,       16,        16, mutex         ,  1.380051250256704
853, rgg_n_2_22_s0, pioneer   ,       16,        16, mutex         ,  0.41462289502172944
854, GAP-road     , pioneer   ,       16,        16, mutex         ,  0.5105414348798979
855, GAP-road     , pioneer   ,       16,      4096, mutex         ,  3.336510264749022
856, europe_osm   , pioneer   ,       16,      4096, mutex         ,  6.1239296533906264
857, rgg_n_2_22_s0, pioneer   ,       16,      4096, mutex         ,  2.006016497170163
858, GAP-road     , bananaf3  ,        1,       256, mutex         ,  9.24083019940606
859, europe_osm   , bananaf3  ,        1,       256, mutex         , 19.262371748329574
860, rgg_n_2_22_s0, bananaf3  ,        1,       256, mutex         ,  4.703137807300342
861, europe_osm   , bananaf3  ,        1,      1024, mutex         , 19.01567890145956
862, rgg_n_2_22_s0, bananaf3  ,        1,      1024, mutex         ,  4.7092071006845515
863, GAP-road     , bananaf3  ,        1,      1024, mutex         ,  9.210192824230417
864, europe_osm   , bananaf3  ,        1,        64, mutex         , 19.271109427432666
865, GAP-road     , bananaf3  ,        1,        64, mutex         ,  9.346178124015998
866, rgg_n_2_22_s0, bananaf3  ,        1,        64, mutex         ,  4.7106323758117465
867, europe_osm   , bananaf3  ,        1,        32, mutex         , 19.729606256577974
868, rgg_n_2_22_s0, bananaf3  ,        1,        32, mutex         ,  4.736844938581857
869, GAP-road     , bananaf3  ,        1,        32, mutex         ,  9.466463157418877
870, rgg_n_2_22_s0, bananaf3  ,        1,        16, mutex         ,  4.806222418185839
871, GAP-road     , bananaf3  ,        1,        16, mutex         ,  9.708862145635047
872, europe_osm   , bananaf3  ,        1,        16, mutex         , 20.203453639350748
873, GAP-road     , bananaf3  ,        1,      4096, mutex         ,  9.243883405665985
874, europe_osm   , bananaf3  ,        1,      4096, mutex         , 19.202880553626695
875, rgg_n_2_22_s0, bananaf3  ,        1,      4096, mutex         ,  4.694336364988452
876, europe_osm   , bananaf3  ,        2,       256, mutex         , 10.238092022152786
877, rgg_n_2_22_s0, bananaf3  ,        2,       256, mutex         ,  2.510582946192607
878, GAP-road     , bananaf3  ,        2,       256, mutex         ,  4.94486127467916
879, europe_osm   , bananaf3  ,        2,      1024, mutex         , 11.428168477364611
880, GAP-road     , bananaf3  ,        2,      1024, mutex         ,  5.577125714664437
881, rgg_n_2_22_s0, bananaf3  ,        2,      1024, mutex         ,  2.873185660795919
882, rgg_n_2_22_s0, bananaf3  ,        2,        64, mutex         ,  2.4370420829858435
883, europe_osm   , bananaf3  ,        2,        64, mutex         , 10.080842723497222
884, GAP-road     , bananaf3  ,        2,        64, mutex         ,  4.785245299084979
885, europe_osm   , bananaf3  ,        2,        32, mutex         , 10.207536777559135
886, rgg_n_2_22_s0, bananaf3  ,        2,        32, mutex         ,  2.460028589145389
887, GAP-road     , bananaf3  ,        2,        32, mutex         ,  4.82664778625558
888, rgg_n_2_22_s0, bananaf3  ,        2,        16, mutex         ,  2.510692618319567
889, GAP-road     , bananaf3  ,        2,        16, mutex         ,  4.965541310242295
890, europe_osm   , bananaf3  ,        2,        16, mutex         , 10.554328032322346
891, europe_osm   , bananaf3  ,        2,      4096, mutex         , 14.093650762608483
892, rgg_n_2_22_s0, bananaf3  ,        2,      4096, mutex         ,  4.4655737262736706
893, GAP-road     , bananaf3  ,        2,      4096, mutex         ,  7.766920470464224
